Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
analcatdata_broadwaymult,Adaboost,7,0.6456547619047619
analcatdata_broadwaymult,LightGBM,7,0.7879578754578754
analcatdata_broadwaymult,Provably Robust Boosting,7,0.6293898809523809
analcatdata_broadwaymult,XBART,7,0.4858012820512821
analcatdata_broadwaymult,Adaboost,8,0.6658379120879122
analcatdata_broadwaymult,LightGBM,8,0.7790109890109891
analcatdata_broadwaymult,Provably Robust Boosting,8,0.7262706043956043
analcatdata_broadwaymult,XBART,8,0.5
analcatdata_broadwaymult,Adaboost,9,0.6283024267399268
analcatdata_broadwaymult,LightGBM,9,0.8928113553113554
analcatdata_broadwaymult,Provably Robust Boosting,9,0.6064697802197803
analcatdata_broadwaymult,XBART,9,0.4858012820512821
analcatdata_germangss,Adaboost,0,0.7233333333333334
analcatdata_germangss,LightGBM,0,0.7883333333333333
analcatdata_germangss,Provably Robust Boosting,0,0.6316666666666667
analcatdata_germangss,XBART,0,0.4808333333333333
analcatdata_germangss,Adaboost,1,0.745
analcatdata_germangss,LightGBM,1,0.7000000000000001
analcatdata_germangss,Provably Robust Boosting,1,0.6666666666666667
analcatdata_germangss,XBART,1,0.445
analcatdata_germangss,Adaboost,2,0.7608333333333333
analcatdata_germangss,LightGBM,2,0.7391666666666667
analcatdata_germangss,Provably Robust Boosting,2,0.6983333333333334
analcatdata_germangss,XBART,2,0.4741666666666666
analcatdata_germangss,Adaboost,3,0.7608333333333333
analcatdata_germangss,LightGBM,3,0.7116666666666667
analcatdata_germangss,Provably Robust Boosting,3,0.6675
analcatdata_germangss,XBART,3,0.4558333333333333
analcatdata_germangss,Adaboost,4,0.7266666666666667
analcatdata_germangss,LightGBM,4,0.6191666666666668
analcatdata_germangss,Provably Robust Boosting,4,0.5291666666666667
analcatdata_germangss,XBART,4,0.44666666666666666
analcatdata_germangss,Adaboost,5,0.6366666666666667
analcatdata_germangss,LightGBM,5,0.7166666666666667
analcatdata_germangss,Provably Robust Boosting,5,0.655
analcatdata_germangss,XBART,5,0.5216666666666667
analcatdata_germangss,Adaboost,6,0.6958333333333333
analcatdata_germangss,LightGBM,6,0.77
analcatdata_germangss,Provably Robust Boosting,6,0.6308333333333334
analcatdata_germangss,XBART,6,0.5175000000000001
analcatdata_germangss,Adaboost,7,0.675
analcatdata_germangss,LightGBM,7,0.6833333333333333
